Description (short),Description (long),Creation date,Update date,Type,Manufacturer,Origin,References,URL,Technical documentation,Conductivity (min bound) (W.m-1.K-1),Conductivity (max bound) (W.m-1.K-1),Thermal capacity (min bound) (J.K-1.kg-1),Thermal capacity (max bound) (J.K-1.kg-1),Density (min bound) (kg.m-3),Density (max bound) (kg.m-3),Emissivity (min bound),Emissivity (max bound),Emissivity (conditions),Solar reflectivity (min bound),Solar reflectivity (max bound)
,,2016-06-23 17:25:35.482000,2016-06-23 17:27:34.093000,REGULAR,,PUBLICATION,"1) French RT;2)Wolfe,Zissis:The Infrared Handbook;3)Bramson:Infrared Radiation,Handbook for Apps",,,0.34,1.04,1000.0,,1000.0,2400.0,0.93,0.94,"Red, common or masonry , plastered",,
"Concrete (autoclaved aerated concrete, 600kg/m3)","Concrete (autoclaved aerated concrete, 600kg/m3)",2016-06-23 17:07:00.383000,2016-06-23 17:09:23.147000,REGULAR,,PUBLICATION,"1) French Thermal Regulation; 2) Wolfe, Zissis: The Infrared Handbook; 3) tnp-instruments",http://www.tnp-instruments.com,,0.21,,1000.0,,600.0,,0.92,0.95,Min bound corresponding to reference 2). Max bound to reference 3),0.12,
"Concrete (shuttered, reinforced, 1<steel%<2))","Concrete (shuttered, reinforced, 1<steel%<2))",2016-06-23 17:08:51.279000,2016-06-23 17:11:46.652000,REGULAR,,PUBLICATION,"1) French Thermal Regulation; 2) Wolfe, Zissis: The Infrared Handbook; 3) tnp-instruments",http://www.tnp-instruments.com,,2.3,,1000.0,,2350.0,,0.92,0.95,Min bound corresponding to reference 2). Max bound to reference 3),0.12,
EPS,EPS,2016-06-17 17:55:38.668000,,REGULAR,,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.031,0.04,1470.0,,13.0,40.0,-1,-1,-1,-1,
Glass-wool,Glass-wool,2016-06-17 18:00:20.574000,2016-06-17 18:02:19.774000,REGULAR,-1,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.032,0.044,840.0,,11.6,136.0,-1,-1,-1,-1,
Mineral insulation or wool,Mineral insulation or wool,2016-06-17 17:53:58.682000,,REGULAR,-1,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.04,-1,900.0,,80.0,-1,-1,-1,-1,-1,
Polyurethane 030,Polyurethane 030,2016-06-17 18:01:43.810000,2016-06-17 18:03:34.366000,REGULAR,,PUBLICATION,INSPIRE project database,-1,-1,0.03,-1,2090.0,,40.0,-1,-1,-1,-1,-1,
Polyurethane foam,Polyurethane foam,2016-06-17 18:01:21.449000,2016-06-17 18:02:01.579000,REGULAR,-1,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.015,0.03,1470.0,,20.0,40.0,-1,-1,-1,-1,
Rock wool,Rock wool,2016-06-17 17:59:00.920000,-1,REGULAR,,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.032,0.044,840.0,-1,32.0,191.0,-1,-1,-1,-1,
Wooden wool,Wooden wool,2016-06-17 18:04:28.029000,,REGULAR,,PUBLICATION,INSPIRE project database,-1,-1,0.13,,20.0,,485.0,-1,-1,-1,-1,-1,
XPS,XPS,2016-06-17 17:57:18.435000,-1,REGULAR,-1,PUBLICATION,"International Energy Agency, Catalogue of Material Properties, 1991",-1,-1,0.02,0.035,1470.0,,25.0,55.0,-1,-1,-1,-1,
